basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_02_04_Question4a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question4a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question4b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question4b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question4c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question4c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question4d_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question4d_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question7a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question7a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question7b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question7b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question9a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question9a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question9b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question9b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Sulfur	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Sulfur.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_TiO2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_TiO2.pdf	pdf	0	persistent-gstate
CNX_Chem_02_05_Mendeleev	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_05_Mendeleev.pdf	pdf	0	persistent-gstate
CNX_Chem_02_05_PerTable2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_05_PerTable2.pdf	pdf	0	persistent-gstate
CNX_Chem_02_06_IonCharges	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_06_IonCharges.pdf	pdf	0	persistent-gstate
CNX_Chem_02_06_NaCation	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_06_NaCation.pdf	pdf	0	persistent-gstate
CNX_Chem_02_07_ErinBrocko	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_07_ErinBrocko.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_05a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_05a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_05b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_05b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_05c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_05c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_05d_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_05d_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_06a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_06a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_06b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_06b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_06c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_06c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_06d_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_06d_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_07a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_07a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_07b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_07b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_Ex01_07c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_Ex01_07c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_01_alsulfatemass_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_alsulfatemass_img.pdf	pdf	1	persistent-gstate
CNX_Chem_03_01_chloroform	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_chloroform.pdf	pdf	1	persistent-gstate
CNX_Chem_03_01_exocytosis-88f6	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_exocytosis.pdf	pdf	1	persistent-gstate
CNX_Chem_03_01_glycinemass_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_glycinemass_img.pdf	pdf	1	persistent-gstate
CNX_Chem_03_01_saltMass	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_01_saltMass.pdf	pdf	1	persistent-gstate
CNX_Chem_03_02_saccharin_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_02_saccharin_img.pdf	pdf	0	persistent-gstate
CNX_Chem_03_03_empform	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_03_empform.pdf	pdf	1	persistent-gstate
CNX_Chem_03_05_faucet	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_05_faucet.pdf	pdf	0	persistent-gstate
CNX_Chem_03_05_saline	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_03/Source_File/CNX_Chem_03_05_saline.pdf	pdf	0	persistent-gstate
CNX_Chem_04_01_basehyd_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_basehyd_img.pdf	pdf	1	persistent-gstate
CNX_Chem_04_01_rxn2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_rxn2.pdf	pdf	1	persistent-gstate
CNX_Chem_04_01_rxn3	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_01_rxn3.pdf	pdf	1	persistent-gstate
CNX_Chem_04_02_HClsoln	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_02_HClsoln.pdf	pdf	1	persistent-gstate
CNX_Chem_04_03_etheneBr_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_03_etheneBr_img.pdf	pdf	1	persistent-gstate
CNX_Chem_04_03_ethene_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_03_ethene_img.pdf	pdf	1	persistent-gstate
CNX_Chem_04_03_flowchart	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_03_flowchart.pdf	pdf	1	persistent-gstate
CNX_Chem_04_04_GreenChem	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_GreenChem.pdf	pdf	1	persistent-gstate
